id,name,reference,registrant
FCB13,Rail Ticket Data version 1.3,https://github.com/UnionInternationalCheminsdeFer/UIC-barcode,Union Internationale des Chemins de fer
FCB2,Rail Ticket Data version 2.0,https://github.com/UnionInternationalCheminsdeFer/UIC-barcode,Union Internationale des Chemins de fer
FCB3,Rail Ticket Data version 3.0,https://github.com/UnionInternationalCheminsdeFer/UIC-barcode,Union Internationale des Chemins de fer
FDC1,Dynamic Content Data version 1.0,https://github.com/UnionInternationalCheminsdeFer/UIC-barcode,Union Internationale des Chemins de fer
